"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Northern Iowa",63.4121,363,62.3223,364,108.087,184,110.289,156,97.1395,10,98.4833,25,11.8057,70
"2026","Northern Kentucky",70.8828,60,70.2474,36,113.588,83,109.734,165,110.21,228,110.321,193,-0.586536,177
"2026","Northwestern",65.7313,310,65.3692,293,110.772,126,117.261,64,109.815,213,104.808,87,12.4529,66
"2026","Northwestern St.",65.1522,330,64.7785,319,101.094,314,102.544,296,111.511,259,112.684,245,-10.14,280
"2026","Notre Dame",66.713,263,65.9861,261,109.66,150,115.83,81,110.871,240,106.975,121,8.85514,92
"2026","Oakland",71.1149,52,69.8605,55,114.638,69,115.4,83,116.463,339,115.228,293,0.172274,170
"2026","Ohio",70.323,82,68.8499,104,108.096,183,108.171,192,112.233,274,113.453,256,-5.2825,227
"2026","Ohio St.",66.8434,253,66.336,241,118.664,35,124.358,18,107.992,166,102.682,52,21.6765,26
"2026","Oklahoma",68.6124,170,66.4873,231,119.895,21,123.591,22,112.141,272,106.816,117,16.7748,46
"2026","Oklahoma St.",74.262,6,72.1863,9,111.426,111,118.935,56,110.207,227,106.798,116,12.1368,69
"2026","Old Dominion",70.2952,83,69.016,97,107.198,209,106.358,227,110.929,242,113.256,251,-6.89818,248
"2026","Oral Roberts",69.227,137,67.7609,156,102.956,289,102.318,300,114.51,316,115.299,295,-12.9815,311
"2026","Oregon",66.6163,268,66.0203,257,106.084,229,112.301,121,111.151,248,104.606,84,7.6956,97
"2026","Oregon St.",66.1879,293,65.1309,302,105.885,233,109.441,169,110.622,237,110.018,188,-0.577385,176
"2026","Pacific",65.819,305,64.3324,331,107.93,188,111.02,139,105.715,105,105.529,96,5.49034,111
"2026","Penn",69.2562,133,69.2854,81,107.579,196,107.84,200,106.11,108,107.137,125,0.703336,162
"2026","Penn St.",67.5899,219,67.5337,174,109.665,149,114.471,94,117.641,345,112.158,231,2.31355,137
"2026","Pepperdine",69.4309,126,68.6461,113,100.205,324,105.533,249,113.75,305,113.608,258,-8.07477,263
"2026","Pittsburgh",64.7103,337,63.6843,344,107.241,208,113.117,108,109.619,209,105.56,99,7.55703,99
"2026","Portland",69.6964,110,68.4931,119,102.26,301,106.347,229,111.359,254,109.156,165,-2.80928,197
"2026","Portland St.",68.8436,157,67.9049,146,106.386,222,104.005,274,102.037,47,102.15,46,1.85531,141
"2026","Prairie View A&M",73.9368,7,72.0493,10,103.16,283,101.132,312,108.73,184,114.19,273,-13.0583,312
"2026","Presbyterian",66.0647,297,64.2181,336,104.469,265,103.509,281,108.99,196,112.541,241,-9.03182,269
"2026","Princeton",64.5005,343,63.4882,346,104.07,270,105.588,246,111.276,252,112.658,244,-7.06916,251
"2026","Providence",72.2428,24,71.1829,22,115.328,62,121.388,37,112.966,289,109.994,187,11.3941,73
"2026","Purdue",65.8764,301,64.9325,309,124.375,2,130.536,2,107.16,141,101.119,39,29.4164,8
"2026","Purdue Fort Wayne",69.0319,149,67.7212,158,107.337,206,105.577,248,114.208,312,113.43,255,-7.85257,261
"2026","Queens",70.7192,69,69.6635,64,119.278,25,116.036,79,116.775,343,117.524,325,-1.48765,183
